njengalo	ADV
nakwezinkulu	ADV
nobundlobongela	ADV
nezikolo	ADV
ezibameleyo	REL
kwiimveliso	NLOC
siza	VAUX
wedayagram	POSS03
i-south	N09
emini	NLOC
nolamlo	ADV
ongeza	V
sweleka	V
ngokupheleleyo	ADV
oshishino	REL
zokubhexesha	POSS08
elibonakalayo	REL
eyenziwa	REL
ezingaphantsi	REL
nemigaqo-nkqubo	ADV
nokusasazeka	ADV
gcina	V
nokwamkela	ADV
kwiiplothi	NLOC
ukukhethwa	N15
zobomi	POSS10
ejongwa	REL
matrix	FOR
abemali	REL
kwimicimbi	NLOC
epheleleyo	REL
nezehlo	ADV
osecaleni	REL
intsebenziswano	N09
abanxulumene	REL
mngeni	N03
nesabelo	ADV
anenkxalabo	REL
unomsebenzi	COP
yophengululo	POSS09
okuqhubekekayo	REL
nokucacisa	ADV
yiforam	COP
asisiseko	REL
sonikezelo	POSS07
kumashumi	NLOC
kwezincedisi	POSS15
lwamathuba	POSS11
qwalasela	V
i-seymour	N09
samaxesha	POSS07
engacingelwanga	REL
erichards	NLOC
nikela	V
xhasa	V
zimvo	N10
qatha	IDEO
unoluntu	COP
yoko	POSS09
nakwimibandela	ADV
nemikhwa	ADV
ezazibhalwe	REL
njengothungelwano	ADV
kwabathathu	ADJLOC
ingabi	COP
kwisakhiwo	NLOC
nkonzo	N09
ijelo	N05
lumandundu	COP
gqugula	V
abangamabhinqa	REL
oluyenzayo	REL
abakwaziyo	REL
nakwimisebenzi	ADV
izakhiwo	N08
kwenqanam	POSS15
esisisininzi	REL
wemicimbi	POSS01
nemimiselo	ADV
ezinikwa	REL
zokuzigwagwisa	POSS08
lusoloko	VAUX
kuphando	NLOC
yoorhulumente	POSS09
neenkolelo	ADV
lwayo	POSS11
property	FOR
olwenziwa	REL
ezingenasiseko	REL
lwawo	POSS11
zamashishini	POSS10
2000	NUM
zalathisi	N08
okunokubakho	REL
ngingqi	N09
ekuhleni	NLOC
unobhala	N01a
linqanam	COP
ziyintoni	COP
elithi	REL
njengomjikelo	ADV
qulatha	V
ziimpembelelo	COP
1999	NUM
lweencwadi	POSS11
kunokhuseleko	ADV
kungaba	CONJ
nomfanekiso	ADV
ngokuxhomekeke	ADV
kwiiseshoni	NLOC
mangala	V
nayikhabhinethi	ADV
indlela	N09
kubuchwepheshe	NLOC
kweenkonzo	POSS15
nokuthunyelwa	ADV
neenzuzo	ADV
njengeyamadoda	ADV
zangaphambili	ADV
njengowona	ADV
emfundo	POSS06
ubuchule	N14
ncamathisela	V
inamagunya	COP
engalungelelananga	REL
uvavanyo	N11
lokuchwetheza	POSS11
ezisebenza	REL
nakukhenketho	ADV
oyena	PROEMP01
yeyona	COP
ekufuneka	REL
esitalatweni	NLOC
ambalwa	REL
ziintsuku	COP
abasebenzi	N02
nodederhu	ADV
zasekhaya	POSS08
banesakhelo	COP
nezintlu	ADV
nge-idp	ADV
nowamaphondo	ADV
lomzantsi	POSS11
eliphina	REL
nekontrakthi	ADV
nakwimithetho-siseko	ADV
kooceba	NLOC
anendima	REL
esishwankathela	REL
yasemzantsi	POSS09
lokwenzeka	POSS05
yokugqibezela	POSS09
ezingaphandle	REL
ezomeleziweyo	REL
nkqubo	N09
zongenelelo	POSS10
weziphumo	POSS03
kubulungisa	NLOC
ukungabi	COP
isicwangciso-qhinga	N07
zeendawo	POSS10
engatsalela	REL
yokundulula	POSS09
nasekuphuculeni	ADV
ngamabakala	COP
wesikolo	POSS03
nakwiyantlukwano	ADV
wohlahlo	POSS03
eyahlukeneyo	REL
nobudlelane	COP
eliziphawulileyo	REL
imizobo	N04
eqhubayo	REL
qatshela	V
ezisentloko	REL
yebakala	POSS09
yinene	COP
ngokuncomekayo	ADV
abadlali-ndima	N02
elifanayo	REL
iiyantlukwano	N10
elide	ADJ05
wama-25	POSS03
luluvo	COP
linako	COP
izalathisi	N08
neengxelo	ADV
ngethuba	ADV
okwandayo	REL
nasekwandiseni	ADV
kwizibuko	NLOC
xilonga	V
inkathalo	N09
systems	FOR
jikela	V
olunkcenkceshelwayo	REL
zesadc	POSS10
elingundoqo	REL
yepotfoliyo	POSS09
okutsha	ADJ15
olusuka	REL
ezinogunyaziwe	REL
iiprojekthi	N10
kwababhexeshi	POSS15
